,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
13,5,548,572,17570.55078125,17586.400390625,,,79.248046875,0.0,0.0009020553522951502,2023-03-03 11:15:00+05:30,2023-03-09 14:15:00+05:30,6 days 03:00:00,,17378.270876294268,17775.899386153866,17524.338352278097,17602.996700247546
14,-5,573,672,17582.80078125,17256.900390625,,,1629.501953125,0.0,0.018535180753030844,2023-03-09 15:15:00+05:30,2023-03-31 09:15:00+05:30,21 days 18:00:00,,17745.260031615402,17039.643924760694,17602.996700247546,17074.799455186527
15,5,673,746,17245.5,17595.55078125,,,1750.25390625,0.0,0.020298094068017747,2023-03-31 10:15:00+05:30,2023-04-19 13:15:00+05:30,19 days 03:00:00,,17046.137271799922,17756.743964921156,17074.799455186527,17600.164175232363
16,-5,752,767,17597.849609375,17716.75,,,-594.501953125,0.0,-0.006756529534248212,2023-04-20 12:15:00+05:30,2023-04-24 13:15:00+05:30,4 days 01:00:00,,17752.091427574553,17569.2971535273,17601.988728599204,17608.32316232674
17,5,768,877,17747.75,18147.69921875,,,1999.74609375,0.0,0.022535206927638773,2023-04-24 14:15:00+05:30,2023-05-17 11:15:00+05:30,22 days 21:00:00,,17590.525106482637,18323.354822287707,17608.32316232674,18227.39010408226
18,-5,878,896,18132.69921875,18270.599609375,,,-689.501953125,0.0,-0.007605066899383894,2023-05-17 12:15:00+05:30,2023-05-22 09:15:00+05:30,4 days 21:00:00,,18289.981764409367,18085.277731293965,18227.39010408226,18206.02152336192
19,5,897,919,18296.94921875,18243.900390625,,,-265.244140625,0.0,-0.0028993264117843642,2023-05-22 10:15:00+05:30,2023-05-25 11:15:00+05:30,3 days 01:00:00,,18134.394352490417,18374.632165295745,18206.02152336192,18251.5859632557
20,-5,920,924,18225.44921875,18378.400390625,,,-764.755859375,0.0,-0.008392175690113968,2023-05-25 12:15:00+05:30,2023-05-26 09:15:00+05:30,0 days 21:00:00,,18374.632165295745,18219.463204727752,18251.5859632557,18266.915859141027
21,5,925,999,18413.849609375,18564.30078125,,,752.255859375,0.0,0.008170544186393291,2023-05-26 10:15:00+05:30,2023-06-09 14:15:00+05:30,14 days 04:00:00,,18253.412543215993,18698.12894755906,18266.915859141027,18565.87940560489
22,5,1008,1064,18698.55078125,18690.5,,,-40.25390625,0.0,-0.0004305564289011077,2023-06-13 09:15:00+05:30,2023-06-23 09:15:00+05:30,10 days 00:00:00,,18547.00072916018,18835.583619543675,18575.003756283026,18747.531206191183
23,-5,1065,1083,18708.400390625,18824.80078125,,,-582.001953125,0.0,-0.006221824859132807,2023-06-23 10:15:00+05:30,2023-06-27 14:15:00+05:30,4 days 04:00:00,,18835.583619543675,18672.242607736604,18747.531206191183,18726.176236169304
24,5,1084,1230,18818.599609375,19664.69921875,,,4230.498046875,0.0,0.04496081679496977,2023-06-27 15:15:00+05:30,2023-07-27 14:15:00+05:30,29 days 23:00:00,,18693.582307270382,19824.801938242013,18726.176236169304,19682.1803075654
25,-5,1232,1244,19618.5,19760.0,,,-707.5,0.0,-0.007212579962790233,2023-07-28 09:15:00+05:30,2023-07-31 14:15:00+05:30,3 days 05:00:00,,19819.563083097884,19572.544540929695,19685.456473235325,19676.828023556176
26,5,1245,1253,19740.75,19610.69921875,,,-650.25390625,0.0,-0.006587935172169268,2023-07-31 15:15:00+05:30,2023-08-02 09:15:00+05:30,1 days 18:00:00,,19594.118056232037,19800.250142701723,19676.828023556176,19697.113729870252
27,-5,1254,1279,19555.05078125,19598.099609375,,,-215.244140625,0.0,-0.0022014173528137615,2023-08-02 10:15:00+05:30,2023-08-07 14:15:00+05:30,5 days 04:00:00,,19732.030216069998,19424.765096373398,19697.113729870252,19595.887956433442
