,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_get_sma(C,30)","Exit_get_sma(C,30)","Entry_get_sma(C,60)","Exit_get_sma(C,60)"
31,138,1277,1312,2781.98779296875,2660.405029296875,,,-24288.923481445312,7510.502094726562,-0.06326652199530636,2025-02-23 06:00:00+00:00,2025-02-24 17:00:00+00:00,1 days 11:00:00,,2739.0054280598956,2746.4442464192707,2735.602469889323,2753.324910481771
32,-135,1312,1439,2660.405029296875,2215.595458984375,,,53466.69133300781,6582.600659179688,0.14886814641692378,2025-02-24 17:00:00+00:00,2025-03-02 00:00:00+00:00,5 days 07:00:00,,2746.4442464192707,2218.8008626302085,2753.324910481771,2216.0477091471353
33,186,1439,1492,2215.595458984375,2080.23583984375,,,-33167.13537597656,7990.2462158203125,-0.08048307348068268,2025-03-02 00:00:00+00:00,2025-03-04 05:00:00+00:00,2 days 05:00:00,,2218.8008626302085,2270.628597005208,2216.0477091471353,2283.4253092447916
34,-182,1492,1532,2080.23583984375,2232.4794921875,,,-35557.48663085938,7849.1419042968755,-0.0939176231473529,2025-03-04 05:00:00+00:00,2025-03-05 21:00:00+00:00,1 days 16:00:00,,2270.628597005208,2185.6788818359373,2283.4253092447916,2173.732010904948
35,154,1532,1571,2232.4794921875,2196.60546875,,,-12345.39044921875,6820.79083984375,-0.03590844768223396,2025-03-05 21:00:00+00:00,2025-03-07 12:00:00+00:00,1 days 15:00:00,,2185.6788818359373,2211.980615234375,2173.732010904948,2217.971964518229
36,-151,1571,1616,2196.60546875,2176.12744140625,,,-3510.6445654296876,6602.826694335938,-0.010584195518297954,2025-03-07 12:00:00+00:00,2025-03-09 09:00:00+00:00,1 days 21:00:00,,2211.980615234375,2177.1055257161456,2217.971964518229,2174.2128662109376
37,151,1616,1627,2176.12744140625,2039.637939453125,,,-26975.72052001953,6365.805725097656,-0.08209406873996034,2025-03-09 09:00:00+00:00,2025-03-09 20:00:00+00:00,0 days 11:00:00,,2177.1055257161456,2153.803255208333,2174.2128662109376,2157.9899088541665
38,-148,1627,1748,2039.637939453125,1925.39013671875,,,11040.433251953125,5868.241552734375,0.03657390389230436,2025-03-09 20:00:00+00:00,2025-03-14 21:00:00+00:00,5 days 01:00:00,,2153.803255208333,1892.149051920573,2157.9899088541665,1889.8325113932292
39,162,1748,1795,1925.39013671875,1880.30810546875,,,-13468.52021484375,6165.23115234375,-0.04318034671848918,2025-03-14 21:00:00+00:00,2025-03-16 20:00:00+00:00,1 days 23:00:00,,1892.149051920573,1917.7402018229166,1889.8325113932292,1919.3195576985677
40,-159,1795,1829,1880.30810546875,1906.160400390625,,,-10130.999816894531,6020.484924316406,-0.03388645711580568,2025-03-16 20:00:00+00:00,2025-03-18 06:00:00+00:00,1 days 10:00:00,,1917.7402018229166,1913.508768717448,1919.3195576985677,1912.4019205729167
41,152,1829,1851,1906.160400390625,1939.1337890625,,,-832.89208984375,5844.84716796875,-0.0028746548409741383,2025-03-18 06:00:00+00:00,2025-03-19 04:00:00+00:00,0 days 22:00:00,,1913.508768717448,1907.718330891927,1912.4019205729167,1908.2357971191407
42,-149,1851,1858,1939.1337890625,1974.043212890625,,,-11032.13788330078,5830.633732910156,-0.038182612393883514,2025-03-19 04:00:00+00:00,2025-03-19 11:00:00+00:00,0 days 07:00:00,,1907.718330891927,1918.4243611653646,1908.2357971191407,1916.032645670573
43,140,1858,1904,1974.043212890625,1973.98486328125,,,-5535.408251953126,5527.239306640626,-0.020029262841311728,2025-03-19 11:00:00+00:00,2025-03-21 09:00:00+00:00,1 days 22:00:00,,1918.4243611653646,1986.1637084960937,1916.032645670573,1989.4163757324218
44,-138,1904,1939,1973.98486328125,1995.482177734375,,,-8444.493911132813,5477.864516601563,-0.03099921686408723,2025-03-21 09:00:00+00:00,2025-03-22 20:00:00+00:00,1 days 11:00:00,,1986.1637084960937,1982.0734252929688,1989.4163757324218,1979.1260375976562
45,132,1939,2028,1995.482177734375,2064.841796875,,,3795.842080078125,5359.627646484375,0.014410742283441882,2025-03-22 20:00:00+00:00,2025-03-26 13:00:00+00:00,3 days 17:00:00,,1982.0734252929688,2065.2549845377603,1979.1260375976562,2067.210412597656
46,-129,2028,2166,2064.841796875,1857.5093994140625,,,21686.046229248048,5059.8330432128905,0.08141489859052081,2025-03-26 13:00:00+00:00,2025-04-01 07:00:00+00:00,5 days 18:00:00,,2065.2549845377603,1823.7337076822917,2067.210412597656,1822.7379150390625
47,155,2166,2213,1857.5093994140625,1823.571533203125,,,-10966.044708251953,5705.675445556641,-0.03808792330172134,2025-04-01 07:00:00+00:00,2025-04-03 06:00:00+00:00,1 days 23:00:00,,1823.7337076822917,1861.243534342448,1822.7379150390625,1865.1813618977865
48,-152,2213,2263,1823.571533203125,1812.353271484375,,,-3821.429921875,5526.605703125,-0.013786674046158475,2025-04-03 06:00:00+00:00,2025-04-05 08:00:00+00:00,2 days 02:00:00,,1861.243534342448,1807.4733642578126,1865.1813618977865,1805.1182861328125
49,151,2263,2286,1812.353271484375,1798.9439697265625,,,-7477.863399658203,5453.0588342285155,-0.02732484607118655,2025-04-05 08:00:00+00:00,2025-04-06 07:00:00+00:00,0 days 23:00:00,,1807.4733642578126,1801.8834228515625,1805.1182861328125,1803.505985514323
50,-148,2286,2382,1798.9439697265625,1616.4910888671875,,,21948.18248046875,5054.843886718751,0.08243643646999117,2025-04-06 07:00:00+00:00,2025-04-10 07:00:00+00:00,4 days 00:00:00,,1801.8834228515625,1551.4615681966145,1803.505985514323,1544.2808430989583
51,179,2382,2413,1616.4910888671875,1570.644287109375,,,-13911.549837646484,5704.972322998046,-0.048078307423297884,2025-04-10 07:00:00+00:00,2025-04-11 14:00:00+00:00,1 days 07:00:00,,1551.4615681966145,1547.087752278646,1544.2808430989583,1552.1882568359374
52,-175,2413,2435,1570.644287109375,1593.9705810546875,,,-9620.177459716797,5538.076019287109,-0.03499993160649047,2025-04-11 14:00:00+00:00,2025-04-12 12:00:00+00:00,0 days 22:00:00,,1547.087752278646,1569.0220947265625,1552.1882568359374,1565.5882588704428
53,166,2435,2520,1593.9705810546875,1581.3736572265625,,,-7362.160791015625,5271.071435546875,-0.027823829836051306,2025-04-12 12:00:00+00:00,2025-04-16 01:00:00+00:00,3 days 13:00:00,,1569.0220947265625,1622.3153645833333,1565.5882588704428,1624.8599263509116
54,-163,2520,2569,1581.3736572265625,1582.84765625,,,-5397.94258178711,5157.680740966797,-0.020941421407185263,2025-04-16 01:00:00+00:00,2025-04-18 02:00:00+00:00,2 days 01:00:00,,1622.3153645833333,1590.2505411783854,1624.8599263509116,1588.874735514323
55,160,2569,2591,1582.84765625,1588.727294921875,,,-4133.777734375,5074.519921875,-0.016322550523310164,2025-04-18 02:00:00+00:00,2025-04-19 00:00:00+00:00,0 days 22:00:00,,1590.2505411783854,1586.6899251302084,1588.874735514323,1587.7744547526042
56,-156,2591,2599,1588.727294921875,1600.857666015625,,,-6868.0904296875,4975.7525390625,-0.02771162857455032,2025-04-19 00:00:00+00:00,2025-04-19 08:00:00+00:00,0 days 08:00:00,,1586.6899251302084,1590.7521484375,1587.7744547526042,1590.5013448079428
57,151,2599,2639,1600.857666015625,1587.328857421875,,,-6857.011748046875,4814.161650390625,-0.028366465546651412,2025-04-19 08:00:00+00:00,2025-04-21 00:00:00+00:00,1 days 16:00:00,,1590.7521484375,1595.941630045573,1590.5013448079428,1596.454921468099
58,-148,2639,2654,1587.328857421875,1633.021240234375,,,-11528.59080078125,4766.11814453125,-0.049073563694658956,2025-04-21 00:00:00+00:00,2025-04-21 15:00:00+00:00,0 days 15:00:00,,1595.941630045573,1608.4358642578125,1596.454921468099,1607.3215759277343
