,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_upper1(C,7)","Exit_upper1(C,7)","Entry_lower1(C,7)","Exit_lower1(C,7)"
37,-43,722,742,128.7787322998047,132.3046112060547,,,-174.06596051025392,22.45316754150391,-0.03143411587433252,2023-07-26,2023-08-23,28 days,,128.274443737939,132.10586754984712,116.06206923639134,126.06456004501895
38,-40,742,762,132.3046112060547,130.4671630859375,,,52.47618286132813,21.021741943359377,0.009915788720999349,2023-08-23,2023-09-21,29 days,,132.10586754984712,141.34688526493886,126.06456004501895,130.65743515219282
39,41,762,786,130.4671630859375,125.80905151367188,,,-211.99722406005858,21.014649597167967,-0.039631918707843564,2023-09-21,2023-10-25,34 days,,141.34688526493886,145.2525601072547,130.65743515219282,127.36186773175197
40,41,786,811,125.80905151367188,133.00978088378906,,,274.0067599182129,21.223144256591798,0.053120913200716824,2023-10-25,2023-11-30,36 days,,145.2525601072547,140.39241725188265,127.36186773175197,133.12156851820663
41,41,811,844,133.00978088378906,146.9642791748047,,,549.176557006836,22.95787292480469,0.10070349775706555,2023-11-30,2024-01-19,50 days,,140.39241725188265,146.5682830505186,133.12156851820663,140.50718256053048
42,-41,844,852,146.9642791748047,140.8362274169922,,,227.65048052978517,23.599641540527344,0.03778095450000213,2024-01-19,2024-01-31,12 days,,146.5682830505186,158.21502558257214,140.50718256053048,141.49116861385642
43,44,852,893,140.8362274169922,155.43630981445312,,,616.3316422119141,26.071983276367188,0.09945975960804528,2024-01-31,2024-04-01,61 days,,158.21502558257214,155.2101439253616,141.49116861385642,146.74067045800894
44,-44,893,909,155.43630981445312,158.83306884765625,,,-177.11310278320312,27.655705322265625,-0.02589676630468384,2024-04-01,2024-04-23,22 days,,155.2101439253616,158.7677678218078,146.74067045800894,153.45561213075916
45,-42,909,912,158.83306884765625,172.5094757080078,,,-602.2418618774414,27.832773742675784,-0.09027774917083624,2024-04-23,2024-04-26,3 days,,158.7677678218078,170.5801132482182,153.45561213075916,148.3204256050184
46,-35,912,952,172.5094757080078,184.52841186523438,,,-445.65541763305663,24.992652130126956,-0.07381050739453365,2024-04-26,2024-06-25,60 days,,170.5801132482182,184.1704888406336,148.3204256050184,173.20431497493558
